id, fun_facts
134, "Ancient Greek doctors believed that 'miasma,' or bad air, was the cause of many diseases."
135, "The 'periscope' was used in trenches during World War I to observe the enemy without exposing oneself to gunfire."
136, "In the 16th and 17th centuries, 'Cabinets of Curiosities' were collections of strange and exotic objects, precursors to museums."
137, "Early thermometers used a variety of liquids, including brandy and mercury, before standardized scales were developed."
138, "The 'ram' was a key part of ancient naval warfare, used to smash into enemy ships."
139, "Before widespread literacy, town criers would shout out news and announcements in public squares."
140, "The 'camera obscura,' a darkened room with a small hole or lens, was used as a drawing aid by artists for centuries."
141, "During the American Civil War, 'coffee substitutes' like chicory and acorns were used due to shortages."
142, "The 'Zoopraxiscope,' invented by Eadweard Muybridge in the late 19th century, was an early device for projecting moving images."
143, "Ancient Roman gladiators often endorsed products, much like modern athletes."
144, "The 'aeolipile,' invented by Hero of Alexandria in the 1st century AD, is considered a rudimentary form of steam engine."
145, "During WWI, 'dazzle camouflage' was used on ships, employing bold geometric patterns to confuse enemy rangefinders."
146, "The 'Little Boy' and 'Fat Man' were the nicknames of the atomic bombs dropped on Hiroshima and Nagasaki, respectively."
147, "In medieval times, 'urine analysis' was a common diagnostic tool, with doctors examining the color, smell, and even taste of urine."
148, "The 'telegraphone,' invented in the late 19th century, was an early magnetic recording device that used steel wire."
149, "Early prosthetic limbs were often made of wood and metal and were purely cosmetic or offered limited functionality."
150, "The 'Hollerith machine,' used for the 1890 US Census, used punched cards to tabulate data, a significant step in data processing."
151, "Before refrigeration, food preservation methods included salting, smoking, pickling, and drying."
152, "The 'maxim gun' and 'gatling gun' were machine guns that changed warfare."
153, "The first safety razor with disposable blades was invented by King Camp Gillette in the early 20th century."
154, "Before matches, making fire often using a fire drill."
155, "Operation Mincemeat was a plan to trick the Nazis in WWII."
156, "In ancient times, surgery was performed without the benefit of painkillers."
157, "The use of spies and secret codes has been a part of warfare for thousands of years."
158, "The Montgolfier brothers were pioneers of hot air ballooning."
159, "Doctors used to prescribe tobacco to patients, often for lung conditions."
160, "Pigeons were used as message carriers as early as ancient Persia."
161, "The history of prosthetics dates back to ancient Egypt, with evidence of artificial toes."
162, "Early photography, called 'daguerreotype,' produced unique images on silver-plated copper."
163, "The Wright brothers' success was partly due to their extensive wind tunnel testing."
164, "Exploding cannonballs were a terrifying innovation in naval warfare."
165, "Leeuwenhoek's microscopes revealed the previously unseen world of microorganisms."
166, "The Colosseum in Rome had a retractable awning to shade spectators."
167, "Before antibiotics, even minor infections could be fatal."
168, "The first mechanical calculating devices were developed centuries before electronic computers."
169, "The 'Silk Road' was a network of trade routes connecting East and West for centuries."
170, "Early clocks were massive public structures, often found in town squares."
171, "The development of gunpowder revolutionized warfare in the medieval period."
172, "The 'Babbage Difference Engine' was a mechanical calculator designed but never fully built in the 19th century."
173, "During the Victorian era, elaborate mourning rituals and attire were common."
174, "The 'battering ram' was a simple but effective siege weapon used for centuries."
175, "Early sanitation systems in ancient cities were surprisingly sophisticated."
176, "The 'spinning jenny' and 'power loom' transformed textile production in the 18th century."
177, "Early experiments with electricity involved static electricity generators and Leyden jars."
178, "The development of the printing press with movable type was revolutionary."
179, "Trench warfare in World War I created horrific conditions for soldiers."
180, "The 'ironclad' warship marked a major shift in naval technology."
181, "Before the germ theory of disease, illnesses were often attributed to imbalances in the body's humors."
182, "The 'Sputnik' launch by the Soviet Union in 1957 ignited the Space Race."
183, "Early attempts at human flight involved gliders and ornithopters (machines that flap wings)."
184, "The use of propaganda has been a key element of warfare throughout history."
185, "Before widespread use of eyeglasses, many people lived with uncorrected vision problems."
186, "The 'flintlock' mechanism was a major improvement in firearm technology."
187, "Early forms of concrete were used by the ancient Romans in construction."
188, "The development of the Bessemer process made steel production much more efficient."
189, "The first public railway line opened in England in 1825."
190, "The 'codex,' a book format with pages bound together, replaced the scroll."
191, "Early medical instruments could be quite crude and frightening by modern standards."
192, "The first successful organ transplant (a kidney) was performed in 1954."
193, "The 'semaphore' system used towers with movable arms to relay messages visually over long distances."
194, "Early attempts at blood transfusion often involved animal blood, with disastrous results."
195, "The development of barbed wire had a major impact on both warfare and agriculture."
196, "The 'quinine' from cinchona bark was crucial in treating malaria."
197, "The 'Caesar cipher' was a simple substitution cipher used by Julius Caesar."
198, "The first functional jet engine was developed in the 1930s, independently by engineers in Germany and Britain."
199, "The 'Great Eastern' was a massive steamship, far larger than any other ship of its time."
200, "Before the invention of the compass, navigation relied on the stars, landmarks, and wind patterns."
